Date,HomeTeam,AwayTeam,FTHG,FTAG
1993-07-23,Nantes,Monaco,1,0
1993-07-24,Bordeaux,Paris SG,1,0
1993-07-24,Caen,Metz,1,1
1993-07-24,Toulouse,Le Havre,0,0
1993-07-24,Strasbourg,Auxerre,1,1
1993-07-24,St Etienne,Cannes,1,2
1993-07-24,Sochaux,Angers,4,1
1993-07-24,Marseille,Lens,1,0
1993-07-24,Lille,Martigues,1,1
1993-07-24,Montpellier,Lyon,1,1
1993-07-31,Metz,Angers,2,0
1993-07-31,Lyon,Caen,2,0
1993-07-31,Lens,Strasbourg,0,0
1993-07-31,Martigues,Sochaux,1,1
1993-07-31,Le Havre,Bordeaux,0,3
1993-07-31,Auxerre,Montpellier,3,1
1993-07-31,Paris SG,Lille,2,1
1993-07-31,Monaco,Toulouse,3,0
1993-07-31,Nantes,St Etienne,1,0
1993-08-01,Cannes,Marseille,2,1
1993-08-06,Lille,Lens,0,0
1993-08-07,Caen,Auxerre,1,0
1993-08-07,Strasbourg,Paris SG,2,2
1993-08-07,Montpellier,Martigues,1,0
1993-08-07,Sochaux,Metz,2,1
1993-08-07,St Etienne,Monaco,2,0
1993-08-07,Toulouse,Nantes,0,3
1993-08-07,Marseille,Le Havre,1,1
1993-08-07,Bayern Munich,Freiburg,3,1
1993-08-07,Dortmund,Karlsruhe,2,1
1993-08-07,Duisburg,Leverkusen,2,2
1993-08-07,FC Koln,Kaiserslautern,0,2
1993-08-07,Hamburg,Nurnberg,5,2
1993-08-07,Leipzig,Dresden,3,3
1993-08-07,M'Gladbach,Ein Frankfurt,0,4
1993-08-07,Wattenscheid,Schalke 04,3,0
1993-08-07,Werder Bremen,Stuttgart,5,1
1993-08-07,Bordeaux,Cannes,0,0
1993-08-07,Angers,Lyon,3,1
1993-08-10,Monaco,Bordeaux,3,2
1993-08-11,Lens,Montpellier,2,1
1993-08-11,Auxerre,Angers,0,0
1993-08-11,Cannes,Lille,2,1
1993-08-11,Le Havre,St Etienne,0,0
1993-08-11,Lyon,Metz,2,0
1993-08-11,Martigues,Caen,4,1
1993-08-11,Nantes,Marseille,0,0
1993-08-11,Paris SG,Sochaux,1,0
1993-08-11,Toulouse,Strasbourg,0,0
1993-08-14,Derby,Sunderland,5,0
1993-08-14,Crystal Palace,Tranmere,0,0
1993-08-14,Charlton,Birmingham,1,0
1993-08-14,Leicester,Peterboro,2,1
1993-08-14,Willem II,MVV Maastricht,1,0
1993-08-14,NAC Breda,Roda JC,2,3
1993-08-14,Karlsruhe,Hamburg,2,0
1993-08-14,Nurnberg,FC Koln,1,0
1993-08-14,Leverkusen,Bayern Munich,2,1
1993-08-14,Grimsby,Bolton,0,0
1993-08-14,Schalke 04,Dortmund,1,0
1993-08-14,Freiburg,Wattenscheid,4,1
1993-08-14,Ein Frankfurt,Werder Bremen,2,2
1993-08-14,Stuttgart,Leipzig,0,0
1993-08-14,Barnsley,West Brom,1,1
1993-08-14,Stoke,Millwall,1,2
1993-08-14,Notts County,Middlesbrough,2,3
1993-08-14,Heerenveen,Sparta,1,0
1993-08-14,Strasbourg,Cannes,2,2
1993-08-14,St Etienne,Toulouse,2,2
1993-08-14,Sochaux,Lyon,0,1
1993-08-14,Montpellier,Monaco,0,3
1993-08-14,Metz,Auxerre,0,0
1993-08-14,Luton,Watford,2,1
1993-08-14,Caen,Lens,1,0
1993-08-14,Angers,Martigues,1,3
1993-08-14,Lille,Le Havre,2,2
1993-08-14,Arsenal,Coventry,0,3
1993-08-14,Wolves,Bristol City,3,1
1993-08-14,Dresden,Duisburg,0,1
1993-08-14,Oxford,Portsmouth,3,2
1993-08-14,Bordeaux,Nantes,2,0
1993-08-14,Kaiserslautern,M'Gladbach,4,2
1993-08-14,Southampton,Everton,0,2
1993-08-14,Go Ahead Eagles,Vitesse,1,4
1993-08-14,Aston Villa,QPR,4,1
1993-08-14,Chelsea,Blackburn,1,2
1993-08-14,Liverpool,Sheffield Weds,2,0
1993-08-14,Man City,Leeds,1,1
1993-08-14,Newcastle,Tottenham,0,1
1993-08-14,Oldham,Ipswich,0,3
1993-08-14,Sheffield United,Swindon,3,1
1993-08-14,West Ham,Wimbledon,0,2
1993-08-15,Southend,Nott'm Forest,1,1
1993-08-15,Marseille,Paris SG,1,0
1993-08-15,Norwich,Man United,0,2
1993-08-15,Volendam,Utrecht,2,2
1993-08-15,Twente,VVV Venlo,3,0
1993-08-15,Groningen,PSV Eindhoven,1,2
1993-08-15,Feyenoord,Cambuur,1,0
1993-08-15,Ajax,Waalwijk,3,0
1993-08-16,Tottenham,Arsenal,0,1
1993-08-17,Wimbledon,Chelsea,1,1
1993-08-17,Leeds,West Ham,1,0
1993-08-17,Peterboro,Barnsley,4,1
1993-08-17,Portsmouth,Charlton,1,2
1993-08-17,Everton,Man City,1,0
1993-08-17,Ipswich,Southampton,1,0
1993-08-18,Swindon,Oldham,0,1
1993-08-18,QPR,Liverpool,1,3
1993-08-18,Nott'm Forest,Derby,1,1
1993-08-18,Blackburn,Norwich,2,3
1993-08-18,Coventry,Newcastle,2,1
1993-08-18,Man United,Sheffield United,3,0
1993-08-18,Sheffield Weds,Aston Villa,0,0
1993-08-20,Cambuur,NAC Breda,1,3
1993-08-21,Sheffield Weds,Arsenal,0,1
1993-08-21,Tottenham,Man City,1,0
1993-08-21,Coventry,West Ham,1,1
1993-08-21,Wimbledon,Aston Villa,2,2
1993-08-21,Ipswich,Chelsea,1,0
1993-08-21,Everton,Sheffield United,4,2
1993-08-21,Middlesbrough,Derby,3,0
1993-08-21,Blackburn,Oldham,1,0
1993-08-21,Peterboro,Notts County,1,1
1993-08-21,Bolton,Stoke,1,1
1993-08-21,Man United,Newcastle,1,1
1993-08-21,QPR,Southampton,2,1
1993-08-21,Bristol City,Crystal Palace,2,0
1993-08-21,PSV Eindhoven,Go Ahead Eagles,3,0
1993-08-21,Werder Bremen,Leipzig,3,1
1993-08-21,Wattenscheid,Leverkusen,1,2
1993-08-21,M'Gladbach,Nurnberg,2,0
1993-08-21,Hamburg,Schalke 04,4,1
1993-08-21,FC Koln,Karlsruhe,2,1
1993-08-21,Ein Frankfurt,Kaiserslautern,1,0
1993-08-21,Duisburg,Stuttgart,2,2
1993-08-21,Dortmund,Freiburg,3,2
1993-08-21,Bayern Munich,Dresden,5,0
1993-08-21,Nott'm Forest,Grimsby,5,3
1993-08-21,Leeds,Norwich,0,4
1993-08-21,Watford,Barnsley,0,2
1993-08-21,Tranmere,Leicester,1,0
1993-08-21,Portsmouth,Luton,1,0
1993-08-21,West Brom,Oxford,3,1
1993-08-21,Sunderland,Charlton,4,0
1993-08-22,Roda JC,Volendam,2,0
1993-08-22,Utrecht,Ajax,1,4
1993-08-22,Birmingham,Wolves,2,2
1993-08-22,Millwall,Southend,1,4
1993-08-22,Swindon,Liverpool,0,5
1993-08-22,Waalwijk,Twente,1,3
1993-08-22,Sparta,Willem II,1,0
1993-08-23,Aston Villa,Man United,1,2
1993-08-24,Arsenal,Leeds,2,1
1993-08-24,Man City,Blackburn,0,2
1993-08-24,Oldham,Coventry,3,3
1993-08-24,Sheffield United,Wimbledon,2,1
1993-08-24,Barnsley,Middlesbrough,1,4
1993-08-24,Charlton,Tranmere,3,1
1993-08-24,Crystal Palace,Nott'm Forest,2,0
1993-08-24,Grimsby,Portsmouth,1,1
1993-08-25,Feyenoord,Twente,1,0
1993-08-25,Go Ahead Eagles,Utrecht,4,0
1993-08-25,Groningen,Roda JC,3,5
1993-08-25,Heerenveen,PSV Eindhoven,0,0
1993-08-25,MVV Maastricht,Waalwijk,1,1
1993-08-25,NAC Breda,VVV Venlo,4,1
1993-08-25,Volendam,Cambuur,4,1
1993-08-25,Willem II,Vitesse,0,3
1993-08-25,Ajax,Sparta,3,0
1993-08-25,West Ham,Sheffield Weds,2,0
1993-08-25,Wolves,Millwall,2,0
1993-08-25,Southampton,Swindon,5,1
1993-08-25,Norwich,Ipswich,1,0
1993-08-25,Liverpool,Tottenham,1,2
1993-08-25,Chelsea,QPR,2,0
1993-08-25,Newcastle,Everton,1,0
1993-08-27,Man City,Coventry,1,1
1993-08-27,Monaco,Marseille,0,0
1993-08-28,Crystal Palace,Portsmouth,5,1
1993-08-28,VVV Venlo,Volendam,2,0
1993-08-28,Wolves,Middlesbrough,2,3
1993-08-28,Stoke,West Brom,1,0
1993-08-28,Oxford,Watford,2,3
1993-08-28,Notts County,Sunderland,1,0
1993-08-28,Charlton,Bolton,3,0
1993-08-28,Luton,Nott'm Forest,1,2
1993-08-28,Leicester,Millwall,4,0
1993-08-28,Barnsley,Birmingham,2,3
1993-08-28,Derby,Bristol City,1,0
1993-08-28,Southend,Peterboro,3,0
1993-08-28,Grimsby,Tranmere,0,0
1993-08-28,Schalke 04,FC Koln,1,2
1993-08-28,Cannes,Sochaux,1,1
1993-08-28,Lens,Angers,0,1
1993-08-28,Liverpool,Leeds,2,0
1993-08-28,Le Havre,Strasbourg,0,1
1993-08-28,Auxerre,Lyon,3,2
1993-08-28,Martigues,Metz,1,1
1993-08-28,Paris SG,Caen,2,0
1993-08-28,St Etienne,Bordeaux,0,0
1993-08-28,Kaiserslautern,Werder Bremen,2,3
1993-08-28,Karlsruhe,M'Gladbach,1,0
1993-08-28,Leipzig,Duisburg,1,1
1993-08-28,Nantes,Montpellier,0,0
1993-08-28,West Ham,QPR,0,4
1993-08-28,Sheffield United,Ipswich,1,1
1993-08-28,Southampton,Man United,1,3
1993-08-28,Oldham,Wimbledon,1,1
1993-08-28,Norwich,Swindon,0,0
1993-08-28,Chelsea,Sheffield Weds,1,1
1993-08-28,Aston Villa,Tottenham,1,0
1993-08-28,Arsenal,Everton,2,0
1993-08-28,Leverkusen,Dortmund,2,1
1993-08-28,Nurnberg,Ein Frankfurt,1,5
1993-08-28,Stuttgart,Bayern Munich,2,2
1993-08-28,Freiburg,Hamburg,0,1
1993-08-28,Dresden,Wattenscheid,1,1
1993-08-28,Toulouse,Lille,1,1
1993-08-29,Cambuur,Groningen,0,2
1993-08-29,Genoa,Roma,2,0
1993-08-29,Udinese,Parma,0,1
1993-08-29,Piacenza,Torino,0,3
1993-08-29,Napoli,Sampdoria,1,2
1993-08-29,Lecce,Milan,0,1
1993-08-29,Lazio,Foggia,0,0
1993-08-29,Juventus,Cremonese,1,0
1993-08-29,Inter,Reggiana,2,1
1993-08-29,Newcastle,Blackburn,1,1
1993-08-29,PSV Eindhoven,Willem II,2,1
1993-08-29,Roda JC,Go Ahead Eagles,2,1
1993-08-29,Sparta,MVV Maastricht,2,2
1993-08-29,Utrecht,Heerenveen,0,1
1993-08-29,Vitesse,Ajax,0,1
1993-08-29,Twente,NAC Breda,0,1
1993-08-29,Atalanta,Cagliari,5,2
1993-08-30,Leeds,Oldham,1,0
1993-08-31,Everton,Aston Villa,0,1
1993-08-31,Ipswich,Newcastle,1,1
1993-08-31,Wimbledon,Southampton,1,0
1993-08-31,Bordeaux,Toulouse,2,0
1993-08-31,Waalwijk,Feyenoord,1,2
1993-08-31,Birmingham,Crystal Palace,2,4
1993-08-31,Bolton,Oxford,1,0
1993-09-01,MVV Maastricht,Ajax,1,1
1993-09-01,Utrecht,Groningen,2,0
1993-09-01,M'Gladbach,Schalke 04,3,2
1993-09-01,Kaiserslautern,Nurnberg,3,1
1993-09-01,Hamburg,Leverkusen,2,1
1993-09-01,Ein Frankfurt,Karlsruhe,3,1
1993-09-01,Dortmund,Dresden,4,0
1993-09-01,Bayern Munich,Leipzig,3,0
1993-09-01,West Brom,Southend,2,2
1993-09-01,Man United,West Ham,3,0
1993-09-01,Werder Bremen,Duisburg,1,5
1993-09-01,FC Koln,Freiburg,2,0
1993-09-01,Angers,Paris SG,1,1
1993-09-01,Strasbourg,Monaco,1,1
1993-09-01,Sochaux,Auxerre,1,0
1993-09-01,Montpellier,Le Havre,2,1
1993-09-01,Metz,Lens,2,1
1993-09-01,Marseille,St Etienne,3,1
1993-09-01,Lyon,Martigues,0,0
1993-09-01,Lille,Nantes,0,0
1993-09-01,Caen,Cannes,1,1
1993-09-01,Swindon,Man City,1,3
1993-09-01,Wattenscheid,Stuttgart,2,4
1993-09-01,Sheffield Weds,Norwich,3,3
1993-09-01,QPR,Sheffield United,2,1
1993-09-01,Coventry,Liverpool,1,0
1993-09-01,Blackburn,Arsenal,1,1
1993-09-01,Tottenham,Chelsea,1,1
1993-09-04,Birmingham,Derby,3,0
1993-09-04,Dresden,Hamburg,1,1
1993-09-04,Duisburg,Bayern Munich,2,2
1993-09-04,Freiburg,M'Gladbach,3,3
1993-09-04,Karlsruhe,Kaiserslautern,1,1
1993-09-04,Leipzig,Wattenscheid,0,0
1993-09-04,Leverkusen,FC Koln,2,1
1993-09-04,Nurnberg,Werder Bremen,0,1
1993-09-04,Bristol City,Southend,2,1
1993-09-04,Peterboro,Grimsby,1,2
1993-09-04,Portsmouth,Stoke,3,3
